ref:FR:prix-carburants,brand,name,operator,branch
64330001,,,Groupement des Mousquetaires,
64350003,Carrefour Contact,Carrefour Contact,,
62910001,Carrefour,,,
93200008,BP,BP,,
95140001,Carrefour,Carrefour,Cora,
71260004,Total,Total,,
71850002,TotalEnergies,Total,,
71850004,Avia Xpress,,,
93600018,BP,BP,,
93606001,Carrefour,Carrefour,,
95500010,Total Access,Les Tulipes,,
1000012,Total,Total,,
1960006,Agip,,,
1000001,Carrefour Market,Carrefour Market,,
80450001,Intermarché,Intermarché,,
95310010,BP,,,
95310011,Total,Relais Total Des Oziers,Total,
95480002,Esso,Station Esso,Esso,
95610008,BP,BP,BP,
34240001,TotalEnergies,Total,,
62223002,Intermarché,Intermarché,Groupement des Mousquetaires,
31270005,Carrefour,Carrefour,,
13463001,Carrefour,Carrefour,,
13015016,Eni,Eni,,
13016007,TotalEnergies,TotalEnergies,Total,
6400004,Esso Express,,,
6400005,Avia,Avia,,
71000022,Total Access,,,
95350004,Total,Total,,
60000008,Intermarché,Intermarché,Tilguit,
60000015,BP,BP,,
60000010,Intermarché,Intermarché,Ludivan,
93300003,Esso,Esso,,
31270007,Total Access,Total Access,,
11200001,Carrefour,Carrefour-Station Service,Carrefour,
31120003,TotalEnergies,Total,,
95100029,Auchan,Auchan,,
30240001,Super U,Super U,,
93120005,TotalEnergies,TotalEnergies,,
93120004,Total,Total,Total,
60600004,Intermarché,Intermarché,Groupement des Mousquetaires,
62550002,Carrefour,Carrefour,,
62130002,,,Esso,
62130001,Total,,Total,
62120014,Shell,Shell,Shell,
62120017,Avia,Avia,,
1170005,Avia,Avia,Avia,
1170002,Carrefour,Carrefour,Carrefour,
1170003,Intermarché,Intermarché,,
69400007,Agip,,,
69260011,Eni,Eni Charbonnieres Est,Eni,
60370002,Intermarché,Intermarché,Super U,
69270002,Intermarché,Intermarché,,
83570001,Intermarché,Intermarché,,
6600009,Esso Express,Esso Express,Esso,
6600022,Total,Total,Total,
30190002,,Berbon,Berbon Sarl,
